,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,Average 
    Connecticut ...............................................,"236,828","237,080","240,603","241,352","244,751","246,600",241202.3
    Maine ....................................................,"55,285","54,804","55,841","56,501","57,264","58,054",56291.5
    Massachusetts ............................................,"404,213","408,040","413,859","416,694","423,950","428,863",415936.5
    New Hampshire ............................................,"71,515","71,287","72,690","73,606","75,267","76,098",73410.5
    Rhode Island .............................................,"51,952","52,036","52,869","53,209","53,851","54,431",53058
    Vermont ..................................................,"29,660","29,487","29,786","30,194","30,387","30,748",30043.7
    Delaware .................................................,"43,998","44,434","45,205","45,393","45,819","46,288",45189.5
    District of Columbia .....................................,"46,534","47,243","47,824","48,316","48,771","49,280",47994.7
    Maryland .................................................,"328,837","331,865","336,037","338,542","343,574","347,456",337718.5
    New Jersey ...............................................,"523,526","526,362","533,913","539,076","543,349","548,474",535783.3
    New York .................................................,"1,119,217","1,117,392","1,140,348","1,154,011","1,160,551","1,170,158",1143612.8
    Pennsylvania .............................................,"618,859","622,070","626,363","632,936","640,420","648,424",631512
    Illinois .................................................,"620,394","626,946","631,906","640,496","646,813","653,095",636608.3
    Indiana ..................................................,"266,663","266,889","271,088","272,501","277,775","279,709",272437.5
    Michigan .................................................,"409,870","413,461","418,484","423,583","430,637","436,433",422078
    Ohio .....................................................,"497,623","496,758","502,933","507,828","515,404","520,151",506782.8
    Wisconsin ................................................,"258,944","259,098","262,009","265,406","268,063","270,608",264021.3
    Iowa .....................................................,"141,990","138,961","140,181","141,264","142,721","143,466",141430.5
    Kansas ...................................................,"131,889","132,198","133,767","133,918","134,728","136,113",133768.8
    Minnesota ................................................,"272,276","275,352","275,792","278,120","281,289","283,115",277657.3
    Missouri .................................................,"256,012","256,043","259,291","261,278","264,495","267,327",260741
    Nebraska.................................................,"91,104","89,786","91,101","91,722","91,621","92,039",91228.8
    North Dakota .............................................,"42,224","41,569","41,020","40,969","40,950","40,421",41192.2
    South Dakota .............................................,"38,988","38,039","38,578","38,829","39,127","39,254",38802.5
    Alabama ..................................................,"185,184","187,169","188,291","190,124","191,432","193,367",189261.2
    Arkansas .................................................,"114,175","114,387","116,028","117,369","118,284","119,754",116666.2
    Florida ..................................................,"866,205","877,677","889,720","901,321","912,574","922,518",895002.5
    Georgia ..................................................,"401,519","407,051","411,579","417,277","421,959","426,831",414369.3
    Kentucky .................................................,"168,004","169,501","171,850","173,395","176,389","177,692",172805.2
    Louisiana ................................................,"198,527","199,742","200,780","202,930","204,041","204,539",201759.8
    Mississippi ..............................................,"104,387","104,588","105,751","106,640","107,271","108,439",106179.3
    North Carolina ...........................................,"397,245","400,925","406,524","411,270","416,785","420,946",408949.2
    South Carolina ...........................................,"180,790","182,420","185,260","187,891","190,637","192,605",186600.5
    Tennessee ................................................,"269,426","271,387","276,415","280,166","284,208","286,895",278082.8
    Virginia .................................................,"424,916","428,614","435,402","440,294","443,693","448,565",436914
    West Virginia ............................................,"67,683","67,676","68,320","68,605","68,549","68,874",68284.5
    Arizona ..................................................,"259,230","262,205","265,861","268,172","271,656","274,734",266976.3
    New Mexico ...............................................,"79,271","79,199","80,030","80,463","80,869","81,488",80220
    Oklahoma .................................................,"171,941","173,241","172,568","173,657","173,556","174,627",173265
    Texas ....................................................,"1,257,589","1,273,369","1,275,933","1,289,176","1,296,529","1,307,453",1283341.5
    Colorado .................................................,"267,865","270,559","274,276","276,299","279,111","282,124",275039
    Idaho ....................................................,"61,276","61,171","61,803","62,421","62,919","63,359",62158.2
    Montana ..................................................,"41,448","42,033","42,449","42,927","42,726","43,009",42432
    Utah .....................................................,"112,958","114,585","116,435","117,974","119,507","121,102",117093.5
    Wyoming ..................................................,"32,478","32,401","32,345","32,500","32,100","32,003",32304.5
    Alaska ...................................................,"40,416","41,247","41,454","41,269","41,341","41,598",41220.8
    California ...............................................,"1,974,525","2,011,012","2,056,153","2,077,759","2,099,673","2,119,407",2056421.5
    Hawaii ...................................................,"66,378","67,232","68,103","68,861","69,612","70,377",68427.2
    Nevada ...................................................,"118,075","119,273","121,610","122,875","124,484","125,638",121992.5
    Oregon ...................................................,"167,022","169,604","171,874","175,278","176,892","179,076",173291
    Washington ...............................................,"358,280","358,961","366,344","369,789","373,291","378,921",367597.7
